Smiles,prediction_label,softmax_score
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)C=C1,0,0.2523941695690155
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=CC=C1,0,0.3850286900997162
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1Br,0,0.31931042671203613
CC1=C(C=O)C(O)=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=C1,1,0.6266704797744751
COC1=CC(OCC2=CC=CC(Br)=C2C)=CC(OC)=C1C=O,1,0.9282774925231934
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=CC(OC)=C1CN[C@H](CO)C(O)=O,1,0.8966882228851318
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1C=O,1,0.9201127290725708
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CO)C(C)C,1,0.8892929553985596
ClC1=CC=C(C=C1)C(=O)N\N=C1/C(=O)N(CC2=CC=CC=C2)C2=C1C=CC=C2,0,0.2347564995288849
CN1C(=O)\C(=N/NC(=O)C2=CC=CO2)C2=C1C=CC=C2,0,0.36988383531570435
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)CC1,0,0.08628316968679428
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=C(N)C=C1,0,0.37286582589149475
CC1=CC=C(C=C1)S(=O)(=O)N1C(=O)CC2=C1C=CC=C2,0,0.29628026485443115
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC2=C(OCCO2)C=C1,1,0.5947837829589844
CC1=C(CO)C=CC=C1Br,0,0.4406772553920746
O=C(CCC#C)NCCN1CCOCC1,0,0.07486613094806671
CC1=C(CO)C=CC=C1C1=CC2=C(OCCO2)C=C1,1,0.730120837688446
CC1=C(CO)C=CC=C1C1=CC=CC=C1,1,0.5609877705574036
ClC1=CC=C(NC(=O)CCC#C)C=C1,0,0.2362222969532013
COC(=O)[C@@H](COC(C)(C)C)NC(=O)OC(C)(C)C,1,0.9345425367355347
CC(C)(C)OC[C@@H](NC(=O)OC(C)(C)C)C(=O)NN,1,0.8584544062614441
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC3=C(OCCO3)C=C2)=CC(OC)=C1C=O,1,0.9229407906532288
OCC1=C(Cl)C(Br)=CC=C1,0,0.46561652421951294
OCC1=C(Cl)C(=CC=C1)C1=CC=CC=C1,1,0.7740309238433838
CCOC(=O)C1=C(O)C2=CC=CC=C2N=C1C,1,0.690025269985199
CCOC(=O)C1=C(Cl)C2=CC=CC=C2N=C1C,1,0.8371343612670898
CC1=C2C(=O)N(N=C2C2=CC=CC=C2N1)C1=CC=C(C=C1)C#N,1,0.5431130528450012
COC(=O)[C@@H](C)NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2,1,0.8578898906707764
C[C@H](NC(=O)OCC1C2=CC=CC=C2C2=C1C=CC=C2)C(=O)NN,1,0.7412234544754028
CC1=C(COC2=CC=C(C=O)C(F)=C2)C=CC=C1C1=CC=CC=C1,1,0.5789321064949036
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=C(C=C2)[C@@H](O)C2=NC=CS2)=CC(OC)=C1C=O,1,0.86814945936203
CN1C(=O)C(=O)C2=CC=CC=C12,0,0.2469482421875
CN1C(=O)\C(=N/NC(=O)C2=CC=CC=C2)C2=CC=CC=C12,0,0.2887493073940277
CC(=O)NN,1,0.8521471619606018
CN1[C@H]2SC(=NN=C2C2=CC=CC=C12)C1=CC=CC=C1,0,0.23317651450634003
CC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(O)=C1C=O,0,0.4798019230365753
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CBr)C(C)C,1,0.8996535539627075
COC1=CC(OCC2=C(C)C(Br)=CC=C2)=CC(OC)=C1CNCCBr,1,0.9329078197479248
ClC1=C(C=O)C=NC2=CC=CC=C12,1,0.8090518712997437
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1\C=C\C(=O)C=C(SC)SC,1,0.9122211933135986
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1C=C(C#N)C#N,1,0.9236088395118713
