Smiles,prediction_label,softmax_score
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)C=C1,1,0.9018688797950745
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=CC=C1,0,0.22807930409908295
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1Br,0,0.09801099449396133
CC1=C(C=O)C(O)=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=C1,1,0.7707653641700745
COC1=CC(OCC2=CC=CC(Br)=C2C)=CC(OC)=C1C=O,1,0.8727027177810669
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=CC(OC)=C1CN[C@H](CO)C(O)=O,1,0.8974305391311646
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1C=O,1,0.8868162631988525
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CO)C(C)C,1,0.8628507852554321
ClC1=CC=C(C=C1)C(=O)N\N=C1/C(=O)N(CC2=CC=CC=C2)C2=C1C=CC=C2,0,0.01488717645406723
CN1C(=O)\C(=N/NC(=O)C2=CC=CO2)C2=C1C=CC=C2,0,0.01763765513896942
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)CC1,1,0.7267041802406311
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=C(N)C=C1,0,0.2761494219303131
CC1=CC=C(C=C1)S(=O)(=O)N1C(=O)CC2=C1C=CC=C2,1,0.6229785680770874
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC2=C(OCCO2)C=C1,0,0.47160932421684265
CC1=C(CO)C=CC=C1Br,1,0.8683027029037476
O=C(CCC#C)NCCN1CCOCC1,0,0.015225553885102272
CC1=C(CO)C=CC=C1C1=CC2=C(OCCO2)C=C1,1,0.894790768623352
CC1=C(CO)C=CC=C1C1=CC=CC=C1,1,0.8642717599868774
ClC1=CC=C(NC(=O)CCC#C)C=C1,0,0.02349473536014557
COC(=O)[C@@H](COC(C)(C)C)NC(=O)OC(C)(C)C,0,0.1792653203010559
CC(C)(C)OC[C@@H](NC(=O)OC(C)(C)C)C(=O)NN,0,0.03881343454122543
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC3=C(OCCO3)C=C2)=CC(OC)=C1C=O,1,0.8868023157119751
OCC1=C(Cl)C(Br)=CC=C1,1,0.8927944302558899
OCC1=C(Cl)C(=CC=C1)C1=CC=CC=C1,0,0.4497499465942383
CCOC(=O)C1=C(O)C2=CC=CC=C2N=C1C,0,0.3408547639846802
CCOC(=O)C1=C(Cl)C2=CC=CC=C2N=C1C,0,0.30267804861068726
CC1=C2C(=O)N(N=C2C2=CC=CC=C2N1)C1=CC=C(C=C1)C#N,0,0.4623567759990692
COC(=O)[C@@H](C)NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2,1,0.8461747169494629
C[C@H](NC(=O)OCC1C2=CC=CC=C2C2=C1C=CC=C2)C(=O)NN,1,0.806939423084259
CC1=C(COC2=CC=C(C=O)C(F)=C2)C=CC=C1C1=CC=CC=C1,0,0.4138820171356201
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=C(C=C2)[C@@H](O)C2=NC=CS2)=CC(OC)=C1C=O,1,0.9064933657646179
CN1C(=O)C(=O)C2=CC=CC=C12,0,0.0007871268317103386
CN1C(=O)\C(=N/NC(=O)C2=CC=CC=C2)C2=CC=CC=C12,0,0.0028879973106086254
CC(=O)NN,0,0.05563261732459068
CN1[C@H]2SC(=NN=C2C2=CC=CC=C12)C1=CC=CC=C1,0,0.0017312353011220694
CC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(O)=C1C=O,1,0.6218523979187012
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CBr)C(C)C,1,0.8544055223464966
COC1=CC(OCC2=C(C)C(Br)=CC=C2)=CC(OC)=C1CNCCBr,1,0.8815667033195496
ClC1=C(C=O)C=NC2=CC=CC=C12,0,0.08381356298923492
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1\C=C\C(=O)C=C(SC)SC,1,0.867456316947937
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1C=C(C#N)C#N,1,0.8790692687034607
O=CC1=CNC2=CC=CC=C2C1=O,0,0.01371504832059145
CC1=CC=C(C=C1)S(=O)(=O)N1C=C(C=O)C(=O)C2=C1C=CC=C2,0,0.3649353086948395
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=C(C=C2)[C@@H](O)C2=NC=CS2)=CC(OC)=C1CNCCNC(C)=O,1,0.8836266398429871
CC1=C(C=O)C(OCC2=CC(=CC=C2)C#N)=CC(OCC2=C(C)C(=CC=C2)C2=CC3=C(OCCO3)C=C2)=C1,1,0.7771213054656982
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCC[C@@H](C1)C(O)=O,1,0.7545363903045654
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCCC[C@@H]1C(=O)NCCOCCOCCNC(=O)OC(C)(C)C,1,0.5327432751655579
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCCC[C@@H]1C(=O)NCCOCCOCCN,1,0.744401752948761
FC1=CC=C(\C=C2/CCNC2=O)C=C1,0,0.3700677752494812
CC1=CC(OCC2=C(C)C(=CC=C2)C2=CC3=C(OCCO3)C=C2)=CC(OCC2=CC=CC(=C2)C#N)=C1CN[C@H](CO)C(=O)NCCOCCOCCNC(=O)OC(C)(C)C,1,0.569990873336792
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1CN[C@H](CC(F)(F)F)C1=CC=CC=C1,1,0.858185887336731
CC1=C(C=CC=C1Br)C1=NN=C(O1)[C@@H](N1CCCCC1)C1=CC=C(F)C=C1,0,0.08280907571315765
CC[C@H](N(C)C1=CC=CC=C1)C1=NN=C(O1)[C@H](COC(C)(C)C)NC(=O)OC(C)(C)C,0,0.010971998795866966
BrC1=CC=CC=C1S(=O)(=O)N1CCC(=O)CC1,0,0.08667197078466415
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCCC[C@@H]1C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)N1N=C2C(C1=O)=C(C)NC1=CC=CC=C21,1,0.6417601704597473
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN1CCCC[C@@H]1C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1Cl)N1N=C2C(C1=O)=C(C)NC1=CC=CC=C21,1,0.7564631700515747
BrC1=CC=CC=C1S(=O)(=O)N1CCC(=O)C=C1,0,0.4570857286453247
CC(=C)C(=O)N1CCC[C@H]1C(O)=O,0,0.022356288507580757
BrC1=CC=CC=C1S(=O)(=O)N1CCCCC1,0,0.012925964780151844
O=C(N1CCC(=O)CC1)C1=CC=CC=N1,0,0.04161714017391205
OC1=CC=CC=C1C1=CN=CN=C1,1,0.8581380248069763
OCCOCCOCCN1C=CC2=C1C=CC=C2,0,0.14890487492084503
CC1=C(NCC2=CC=C(F)C=C2)C=CC=C1Br,0,0.21713826060295105
CNC1=C(C)C(Br)=CC=C1,0,0.018789319321513176
O=S1(=O)OC2=CC=CC=C2C=N1,0,0.4678007960319519
CNC1=C(C#N)C(Br)=CC=C1,0,0.008743498474359512
OCCCCN1CCC2=C1C=CC=C2,0,0.002751261694356799
CCCCNC1=C(C#N)C(Br)=CC=C1,0,0.0020855851471424103
CCCCNC1=C(C#N)C(=CC=C1)C1=CC=CC=C1,0,0.021226955577731133
CC[C@@H](N(C)C1=C(C)C(=CC=C1)C1=CC=C2OCCOC2=C1)C1=NN=C(O1)C1=C(C)C(Br)=CC=C1,0,0.2611508071422577
CC[C@@H](N(C)C1=C(C)C(=CC=C1)C1=CC=C2OCCOC2=C1)C1=NN=C(O1)C1=CC=CC=C1,0,0.07038874179124832
CN(C(=O)C(C)=C)C1=C(C)C(Br)=CC=C1,0,0.011463246308267117
CN(C(=O)C(C)=C)C1=C(C)C(=CC=C1)C1=CC=CC=C1,0,0.04700813442468643
CC1=NS(=O)(=O)OC2=CC=CC=C12,0,0.01850115694105625
O=S1(=O)N=C(C2=CC=CC=C2)C2=CC=CC=C2N1CC1=CC=CC=C1,0,0.023772746324539185
CC1=C(C=CC=C1C1=NN=C(O1)[C@@H](N1CCCCC1)C1=CC=C(F)C=C1)C1=CC=CC=C1,0,0.13494203984737396
CC1=C(C=CC=C1C1=NN=C(O1)[C@@H](N1CCCCC1)C1=CC=C(F)C=C1)C1=CC2=C(OCCO2)C=C1,0,0.27650585770606995
CC1=C(C=CC=C1C1=CC=C2OCCOC2=C1)C1=NN=C(O1)[C@H](N)CO,1,0.8983519077301025
CC[C@H](N(C)C1=C(C)C(=CC=C1)C1=CC=C2OCCOC2=C1)C1=NN=C(O1)C1=CC=CC=C1,0,0.06980891525745392
CC[C@H](N(C)C1=C(C)C(=CC=C1)C1=CC=CC=C1)C1=NN=C(O1)C1=CC=CC=C1,0,0.039120983332395554
CCN(CC)C1=CC=C2[C@H](NS(=O)(=O)OC2=C1)C1=NN=C(O1)C1=CC=CC=C1,0,0.04104733094573021
COC1=CC=C2[C@H](NS(=O)(=O)OC2=C1)C1=NN=C(O1)C1=CC=CC=C1,1,0.711131751537323
