Smiles,prediction_label,softmax_score
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)C=C1,1,0.6659039855003357
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=CC=C1,0,0.12455681711435318
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1Br,0,0.09066995233297348
CC1=C(C=O)C(O)=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=C1,1,0.8366991877555847
COC1=CC(OCC2=CC=CC(Br)=C2C)=CC(OC)=C1C=O,1,0.7317308783531189
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=C3OCCOC3=C2)=CC(OC)=C1CN[C@H](CO)C(O)=O,1,0.9078480005264282
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1C=O,1,0.6570460200309753
COC1=CC(OCC2=CC=CC(=C2C)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CO)C(C)C,1,0.7786090970039368
ClC1=CC=C(C=C1)C(=O)N\N=C1/C(=O)N(CC2=CC=CC=C2)C2=C1C=CC=C2,0,0.034126825630664825
CN1C(=O)\C(=N/NC(=O)C2=CC=CO2)C2=C1C=CC=C2,0,0.09649890661239624
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)CC1,0,0.2983262538909912
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC=C(N)C=C1,0,0.08197952806949615
CC1=CC=C(C=C1)S(=O)(=O)N1C(=O)CC2=C1C=CC=C2,0,0.07761820405721664
CC1=C(COC2=CC=C(C=O)C=C2)C=CC=C1C1=CC2=C(OCCO2)C=C1,1,0.67148756980896
CC1=C(CO)C=CC=C1Br,0,0.4491574466228485
O=C(CCC#C)NCCN1CCOCC1,0,0.33704113960266113
CC1=C(CO)C=CC=C1C1=CC2=C(OCCO2)C=C1,1,0.9097117781639099
CC1=C(CO)C=CC=C1C1=CC=CC=C1,0,0.37342238426208496
ClC1=CC=C(NC(=O)CCC#C)C=C1,0,0.006498334463685751
COC(=O)[C@@H](COC(C)(C)C)NC(=O)OC(C)(C)C,1,0.9239222407341003
CC(C)(C)OC[C@@H](NC(=O)OC(C)(C)C)C(=O)NN,1,0.9005032181739807
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC3=C(OCCO3)C=C2)=CC(OC)=C1C=O,1,0.903896152973175
OCC1=C(Cl)C(Br)=CC=C1,0,0.08435826003551483
OCC1=C(Cl)C(=CC=C1)C1=CC=CC=C1,0,0.11986127495765686
CCOC(=O)C1=C(O)C2=CC=CC=C2N=C1C,0,0.18393315374851227
CCOC(=O)C1=C(Cl)C2=CC=CC=C2N=C1C,0,0.10851144790649414
CC1=C2C(=O)N(N=C2C2=CC=CC=C2N1)C1=CC=C(C=C1)C#N,0,0.18890906870365143
COC(=O)[C@@H](C)NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2,0,0.11404746770858765
C[C@H](NC(=O)OCC1C2=CC=CC=C2C2=C1C=CC=C2)C(=O)NN,0,0.08428013324737549
CC1=C(COC2=CC=C(C=O)C(F)=C2)C=CC=C1C1=CC=CC=C1,0,0.09236548095941544
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=C(C=C2)[C@@H](O)C2=NC=CS2)=CC(OC)=C1C=O,1,0.8236545920372009
CN1C(=O)C(=O)C2=CC=CC=C12,0,0.01341294962912798
CN1C(=O)\C(=N/NC(=O)C2=CC=CC=C2)C2=CC=CC=C12,0,0.026205185800790787
CC(=O)NN,1,0.8507949709892273
CN1[C@H]2SC(=NN=C2C2=CC=CC=C12)C1=CC=CC=C1,0,0.004698920529335737
CC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(O)=C1C=O,0,0.35628360509872437
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1CN[C@@H](CBr)C(C)C,1,0.7811782956123352
COC1=CC(OCC2=C(C)C(Br)=CC=C2)=CC(OC)=C1CNCCBr,1,0.8904294967651367
ClC1=C(C=O)C=NC2=CC=CC=C12,0,0.03984574228525162
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1\C=C\C(=O)C=C(SC)SC,1,0.6591535210609436
COC1=CC(OCC2=C(C)C(=CC=C2)C2=CC=CC=C2)=CC(OC)=C1C=C(C#N)C#N,1,0.857057511806488
O=CC1=CNC2=CC=CC=C2C1=O,0,0.045229386538267136
