number_of_actives_higher_than_0.5
6
65
71
100
91
99
91
72
15
10
2
63
18
94
49
32
97
50
17
15
10
99
14
52
36
24
10
36
24
87
92
3
4
33
6
69
64
83
47
82
96
24
27
79
92
62
28
40
31
71
69
3
6
2
15
18
4
12
3
1
61
41
19
22
16
38
2
2
4
60
52
34
32
30
13
7
53
96
52
9
29
73
26
99
81
74
30
43
54
45
38
62
5
