AUC,precision,recall,F1_score,kappa
0.8125,0.7142857143,1,0.8333333333,0.5263157895
0.925,0.8181818182,0.9,0.8571428571,0.6582278481
0.8,0.7142857143,1,0.8333333333,0.5263157895
0.925,0.75,0.9,0.8181818182,0.5384615385
0.9625,0.7142857143,1,0.8333333333,0.5263157895
0.875,0.75,0.9,0.8181818182,0.5384615385
0.6875,0.6666666667,1,0.8,0.4
0.9,0.7142857143,1,0.8333333333,0.5263157895
0.925,0.7142857143,1,0.8333333333,0.5263157895
0.9,0.8181818182,0.9,0.8571428571,0.6582278481
0.7625,0.7142857143,1,0.8333333333,0.5263157895
0.925,0.8333333333,1,0.9090909091,0.7692307692
1,0.7692307692,1,0.8695652174,0.6493506494
0.9875,0.9090909091,1,0.9523809524,0.8860759494
0.9125,0.7142857143,1,0.8333333333,0.5263157895
0.9375,0.7692307692,1,0.8695652174,0.6493506494
0.9,0.8333333333,1,0.9090909091,0.7692307692
0.975,0.8333333333,1,0.9090909091,0.7692307692
0.925,0.7692307692,1,0.8695652174,0.6493506494
0.95,0.8333333333,1,0.9090909091,0.7692307692
0.875,0.7142857143,1,0.8333333333,0.5263157895
0.8625,0.7692307692,1,0.8695652174,0.6493506494
0.9,0.8181818182,0.9,0.8571428571,0.6582278481
0.825,0.7692307692,1,0.8695652174,0.6493506494
0.9375,0.6666666667,1,0.8,0.4
0.9375,0.75,0.9,0.8181818182,0.5384615385
0.95,0.8181818182,0.9,0.8571428571,0.6582278481
0.95,0.7692307692,1,0.8695652174,0.6493506494
0.975,0.8333333333,1,0.9090909091,0.7692307692
0.9125,0.7142857143,1,0.8333333333,0.5263157895
0.8625,0.75,0.9,0.8181818182,0.5384615385
0.7875,0.7142857143,1,0.8333333333,0.5263157895
0.8375,0.7272727273,0.8,0.7619047619,0.4303797468
0.85,0.7142857143,1,0.8333333333,0.5263157895
0.8375,0.7692307692,1,0.8695652174,0.6493506494
0.9,0.8333333333,1,0.9090909091,0.7692307692
0.8,0.75,0.9,0.8181818182,0.5384615385
0.95,0.8181818182,0.9,0.8571428571,0.6582278481
0.8,0.7142857143,1,0.8333333333,0.5263157895
1,0.8333333333,1,0.9090909091,0.7692307692
0.8875,0.75,0.9,0.8181818182,0.5384615385
0.8375,0.6923076923,0.9,0.7826086957,0.4155844156
0.9875,0.7692307692,1,0.8695652174,0.6493506494
0.8875,0.7692307692,1,0.8695652174,0.6493506494
0.8,0.7142857143,1,0.8333333333,0.5263157895
0.8375,0.75,0.9,0.8181818182,0.5384615385
0.95,0.7142857143,1,0.8333333333,0.5263157895
0.9375,0.7692307692,1,0.8695652174,0.6493506494
0.8875,0.8181818182,0.9,0.8571428571,0.6582278481
0.825,0.7692307692,1,0.8695652174,0.6493506494
0.9625,0.8181818182,0.9,0.8571428571,0.6582278481
0.9875,0.8333333333,1,0.9090909091,0.7692307692
0.9375,0.7692307692,1,0.8695652174,0.6493506494
0.875,0.8181818182,0.9,0.8571428571,0.6582278481
0.8875,0.6923076923,0.9,0.7826086957,0.4155844156
0.8375,0.8181818182,0.9,0.8571428571,0.6582278481
0.8875,0.7692307692,1,0.8695652174,0.6493506494
0.825,0.7272727273,0.8,0.7619047619,0.4303797468
0.85,0.6923076923,0.9,0.7826086957,0.4155844156
0.8375,0.6428571429,0.9,0.75,0.2894736842
0.9875,0.8333333333,1,0.9090909091,0.7692307692
0.875,0.7692307692,1,0.8695652174,0.6493506494
0.8375,0.8,0.8,0.8,0.55
0.9625,0.7692307692,1,0.8695652174,0.6493506494
0.7875,0.7142857143,1,0.8333333333,0.5263157895
0.8875,0.7272727273,0.8,0.7619047619,0.4303797468
0.9,0.7692307692,1,0.8695652174,0.6493506494
0.9375,0.9,0.9,0.9,0.775
0.875,0.7692307692,1,0.8695652174,0.6493506494
0.75,0.6923076923,0.9,0.7826086957,0.4155844156
0.8875,0.7692307692,1,0.8695652174,0.6493506494
0.8125,0.7142857143,1,0.8333333333,0.5263157895
0.9125,0.7142857143,1,0.8333333333,0.5263157895
0.9125,0.8181818182,0.9,0.8571428571,0.6582278481
0.925,0.8333333333,1,0.9090909091,0.7692307692
0.8,0.7142857143,1,0.8333333333,0.5263157895
0.925,0.8333333333,1,0.9090909091,0.7692307692
0.8375,0.8,0.8,0.8,0.55
0.875,0.7272727273,0.8,0.7619047619,0.4303797468
0.9375,0.7692307692,1,0.8695652174,0.6493506494
0.95,0.8333333333,1,0.9090909091,0.7692307692
0.875,0.6666666667,1,0.8,0.4
0.875,0.8,0.8,0.8,0.55
0.8875,0.7142857143,1,0.8333333333,0.5263157895
0.8875,0.7692307692,1,0.8695652174,0.6493506494
1,0.9090909091,1,0.9523809524,0.8860759494
0.85,0.7142857143,1,0.8333333333,0.5263157895
0.9,0.8333333333,1,0.9090909091,0.7692307692
0.9,0.7692307692,1,0.8695652174,0.6493506494
0.8875,0.8333333333,1,0.9090909091,0.7692307692
0.85,0.7692307692,1,0.8695652174,0.6493506494
0.925,0.8181818182,0.9,0.8571428571,0.6582278481
1,0.7142857143,1,0.8333333333,0.5263157895
0.95,0.7692307692,1,0.8695652174,0.6493506494
0.9125,0.7692307692,1,0.8695652174,0.6493506494
0.9,0.8333333333,1,0.9090909091,0.7692307692
0.8875,0.8333333333,1,0.9090909091,0.7692307692
0.825,0.75,0.9,0.8181818182,0.5384615385
0.9375,0.7142857143,1,0.8333333333,0.5263157895
0.9375,0.8333333333,1,0.9090909091,0.7692307692
0.775,0.6666666667,1,0.8,0.4
0.9875,0.9090909091,1,0.9523809524,0.8860759494
0.8875,0.75,0.9,0.8181818182,0.5384615385
0.8875,0.75,0.9,0.8181818182,0.5384615385
0.825,0.8,0.8,0.8,0.55
0.75,0.7692307692,1,0.8695652174,0.6493506494
